JunctionName,JunctionDetail,JunctionID
J_ONT_01,Onnut Junction ,cluster_1088409501_272206263_5136790697_70702637
J_KSR_01,Onnut Junction 1,cluster_313173111_3810777044
J_KSR_02,Onnut Junction 2,cluster_272206256_272448121_277360977
