throughput_KLONGTEI,throughput_KASEMRAT,throughput_NARANONG,throughput_SUNLAKAKHON,throughput_RAMA4, throughput_ATTHAKAVI_RAMA4,throughput,mean_speed,jamlength_percent,Backlog
0,0,0,0,0,0,0,9.904311108768514,0.0,12
0,0,0,0,0,0,0,9.510618986914455,0.01033450002829683,29
0,0,0,0,0,0,0,10.022759566896088,0.025972844830059516,47
0,0,0,0,0,0,0,9.870536560620804,0.025972844830059516,74
1,0,0,1,0,0,2,10.333945156036938,0.08519748163136198,102
1,2,2,0,1,1,7,9.692544718728476,0.1610700015374209,136
0,5,0,0,1,1,7,9.59040697712632,0.21950449024332105,151
1,3,2,9,0,1,16,9.781123340995398,0.22396879390330995,183
1,4,1,0,1,2,9,9.565911879737097,0.3048554958352322,215
4,7,1,1,2,2,17,9.609625254065127,0.3680565639198997,243
5,5,1,2,3,7,23,9.189191544933953,0.5175431478361121,276
5,9,0,4,3,6,27,8.801754790284336,0.6614450677980692,295
2,18,2,3,4,5,34,8.091185174206931,0.7841682703197494,329
18,10,1,0,2,5,36,8.058923419855786,0.9231542675832608,344
8,13,0,2,9,6,38,7.6906583991621265,1.2702216059362201,367
6,6,0,17,3,4,36,7.2251683175567365,1.4735316566947083,383
8,14,8,6,9,4,49,7.1080784924082,1.5512812446046969,393
7,6,3,3,5,7,31,6.767612590639059,1.916600969534299,406
7,8,1,4,5,10,35,6.251822298373629,2.217453165596758,428
11,12,4,3,6,8,44,5.632135531645202,2.7024422561643995,431
8,8,1,1,11,1,30,5.45278042606183,2.8340356754759917,452
8,4,2,2,5,8,29,5.280950236898707,2.9359543941743413,479
6,4,14,3,5,6,38,5.042759118085694,3.2600302342249314,506
5,7,10,14,5,4,45,5.321845516028418,3.1742452480764047,531
7,8,12,12,8,7,54,5.418343984050645,3.333081087509233,546
3,9,10,5,6,6,39,5.397879636028895,3.697571694328567,561
7,8,14,0,4,6,39,5.1422677397140815,3.9468959443175433,575
6,12,7,1,3,2,31,4.756827062850577,4.593031423849901,596
13,6,9,3,23,3,57,4.994595232254844,4.170970758951034,607
13,18,9,2,27,11,80,5.389934698354284,3.640660258310229,624
9,19,5,3,23,8,67,5.223231359274462,4.129550759809245,646
10,12,9,18,5,5,59,5.410375343238659,4.153093884749678,680
11,7,13,17,5,9,62,5.310810598211163,4.153801308623151,691
9,12,7,0,5,15,48,4.991382635439416,4.436051817642534,702
8,13,7,1,5,16,50,4.753070178612906,5.01385090560805,726
9,11,8,1,5,16,50,4.415890474054105,5.514591931868266,743
9,12,11,11,6,10,59,4.2826864626802905,5.721198612695813,742
11,8,13,7,6,8,53,4.05993694259438,6.08458524540663,755
10,7,11,7,7,13,55,3.7600439726220656,6.474392588532279,769
10,2,15,4,6,11,48,3.1821525269618403,7.340701004684946,768
8,1,6,2,5,13,35,2.905653820036601,7.9787797517872505,787
8,1,3,2,12,9,35,2.6442207380440315,8.394731110661734,805
21,3,10,17,9,4,64,2.9817203550975604,8.263447634229431,815
7,1,6,20,15,5,54,3.0953118137208215,7.954021516196404,831
8,25,1,20,9,7,70,3.3624588373310624,7.819349357689696,847
24,29,1,8,12,4,78,3.559983554215033,7.229334575623694,826
12,28,11,16,11,6,84,3.7956799239473553,6.760221433539706,810
15,25,10,16,12,11,89,3.9621800352030516,6.4589008518683215,812
12,24,10,13,12,10,81,3.8168162229847966,6.728026804991802,801
7,22,10,5,11,8,63,3.752271561109404,6.824988613458445,819
15,22,11,3,10,9,70,3.712797759783321,6.841559411952906,823
4,9,17,4,4,5,43,3.434161573677954,7.552036471183804,844
9,7,13,3,3,2,37,3.4062832394967706,7.975714033051078,866
6,3,9,5,5,8,36,3.207013739824315,8.42419898046265,900
4,4,7,17,6,8,46,3.2302747995478995,8.311149624213925,916
12,7,7,21,15,6,68,3.173300653143369,8.535845421462074,918
10,9,2,9,20,5,55,3.1761098231275935,8.813262866095721,926
0,9,6,2,8,5,30,3.077639919376323,9.269561854378564,950
1,12,6,2,12,7,40,3.131325247400459,8.886252986816936,947
0,7,6,2,8,8,31,3.0080714911203508,9.174292659162933,971
9,13,5,5,22,10,64,3.0939312638628187,9.122648003975453,979
13,12,18,1,26,8,78,3.173258068180026,9.371739214700012,977
19,10,10,15,27,6,87,3.38245672371561,9.327312169098919,997
12,8,14,14,15,7,70,3.1834501323628497,9.560978398639781,991
12,1,9,7,9,10,48,3.016909820807767,9.829082013924095,1003
12,2,2,2,5,12,35,2.541170033853315,10.703137460475132,1031
12,3,6,16,5,13,55,2.5416500351412368,10.948984497935006,1051
12,0,5,22,7,11,57,2.4008756483883165,11.30716138692988,1040
11,26,5,18,9,10,79,2.4031248213613963,11.067687338448549,1041
8,26,5,4,11,10,64,2.5092248599868276,10.890747533711693,1039
17,29,5,14,17,11,93,2.94353589368006,10.435537166049834,1037
8,32,5,14,33,15,107,3.2174092731597503,9.690867315303443,1042
6,21,5,15,19,8,74,3.132882978033196,10.006623657376212,1045
9,21,5,12,12,6,65,2.9948157270351072,10.588300145870003,1062
7,19,11,10,7,9,63,2.8250058501271833,11.273375884462432,1081
28,18,10,14,6,12,88,3.104097514440052,10.573805701212176,1083
31,12,8,4,9,6,70,3.086480550792962,10.33743875518875,1064
29,14,9,1,11,7,71,2.9016378789044737,10.574551309337492,1050
11,13,10,4,12,6,56,2.6523070084273352,10.972174757404147,1063
7,10,8,4,12,6,47,2.535666800148189,11.399519986363869,1079
10,8,8,4,16,4,50,2.4221778862089063,11.67430401298469,1088
14,10,6,5,9,6,50,2.235278599056936,12.138809180943653,1096
8,13,8,2,13,6,50,2.1885100770522294,12.238749675276983,1111
0,9,15,17,4,7,52,2.2081222161076806,12.012627799270284,1119
20,8,16,20,6,4,74,2.4378177531321117,11.876486911569222,1116
8,9,6,17,9,7,56,2.3090246619804513,12.525606709113575,1130
8,5,5,2,8,6,34,2.464818793184313,12.831690075078601,1171
4,5,6,4,6,6,31,2.2982882169094827,13.363575555340624,1193
15,5,6,4,9,5,44,2.194793004727895,13.498219109299958,1205
11,0,7,5,7,6,36,2.032515741245291,14.08134597264775,1229
6,2,5,3,3,7,26,1.748253582640287,14.743403564475027,1246
1,26,5,12,11,9,64,1.9737081093963214,14.216624215655854,1236
4,30,5,15,9,2,65,2.190240929294743,13.780975744567835,1242
3,24,7,10,7,3,54,2.131007293276315,13.824846595823766,1225
4,14,6,5,17,6,52,2.185600418407938,13.688391953926793,1229
0,7,8,16,13,4,48,2.244882774576646,13.795673072892507,1229
2,7,9,19,12,1,50,2.2681169268839985,14.059040746113489,1236
0,9,10,22,1,1,43,2.2734505622208956,14.179986830228092,1240
1,4,7,22,22,5,61,2.3094456489571873,13.932437868244147,1242
12,9,5,21,24,6,77,2.339284855406207,13.693203425540508,1228
15,6,5,9,24,1,60,2.281872771745067,13.951108146416436,1247
13,6,5,2,13,1,40,2.2150381472314584,14.191874629129906,1260
13,5,6,2,14,5,45,2.127674497471082,14.496763594330373,1279
12,6,5,1,10,6,40,1.9887168817794127,14.910681554231127,1285
11,18,5,4,8,7,53,2.0630467264338557,14.629978964780863,1302
9,20,7,4,7,9,56,1.9995754971230637,14.75020999928223,1302
