throughput_KLONGTEI,throughput_KASEMRAT,throughput_NARANONG,throughput_SUNLAKAKHON,throughput_RAMA4, throughput_ATTHAKAVI_RAMA4,throughput,mean_speed,jamlength_percent,Backlog
0,0,0,0,0,0,0,7.841417690959361,0.013863418376537978,17
0,0,0,0,0,0,0,8.357546602692858,0.03191168924603467,40
0,1,0,0,0,1,2,9.663023622369332,0.048230105780546394,55
0,2,0,1,1,0,4,9.842885040256009,0.060112287641060164,83
0,0,1,0,1,0,2,10.12209787114272,0.0706214871830416,103
1,3,2,1,0,0,7,10.059055244369054,0.1069803474265167,134
3,8,1,0,1,0,13,9.65842452364896,0.17461158766080764,151
2,2,1,5,1,0,11,9.703742821120093,0.21100496624360263,176
2,3,0,1,1,0,7,9.091243356504322,0.34095288916929034,205
6,2,0,2,1,3,14,9.116048502407105,0.43117298239180113,221
2,2,0,0,5,2,11,8.643382649100566,0.6402674273007753,263
5,16,0,5,1,3,30,7.928249908865063,0.8370836539774348,282
2,3,0,7,2,3,17,7.506551505329557,1.1073237269441576,311
5,10,1,1,2,2,21,7.362210952769736,1.2623247328596152,326
4,9,0,1,4,5,23,6.739151446616983,1.671995834395115,356
7,4,11,0,3,4,29,6.484755375230485,1.8359568048329034,368
2,6,6,18,0,5,37,6.580115206979147,2.0090177818132227,391
6,14,0,6,3,2,31,6.533505344341429,2.171802578878041,426
3,5,1,0,3,6,18,6.02669539211979,2.5705850022062773,447
11,12,10,4,22,4,63,6.631763851304714,2.0517853292874233,474
6,6,12,3,19,4,50,6.604138952912499,2.2718994451630143,476
12,8,9,14,2,2,47,6.7003183798051,2.2874624940728356,501
13,2,11,8,7,3,44,6.59103041672559,2.4594097093549108,531
10,14,5,4,7,11,51,6.2941218186395,2.6626332189998125,538
9,10,9,5,5,12,50,5.790002539912138,3.0434567325192696,543
10,14,10,18,6,14,72,5.789675353170142,3.1351576979069575,559
12,10,10,17,4,15,68,5.551014174841163,3.6065438139850867,569
8,13,14,3,7,9,54,5.299254649937944,3.9722508712012625,585
10,10,7,2,21,7,57,5.375617330847615,3.9425994211278192,600
26,14,6,2,20,4,72,5.4007549604727165,4.20860036512479,615
27,6,11,2,9,6,61,4.774459692527513,4.386430786514404,617
7,9,13,3,6,8,46,4.54066459830912,4.821657381720499,624
7,9,11,11,7,9,54,4.51689736799652,4.919279859695793,632
6,8,15,5,5,5,44,4.24803947207487,5.249062326771712,640
7,7,4,1,7,5,31,3.9856738580300664,5.718896623767014,666
6,17,1,0,9,7,40,3.83589268413841,6.133735338063764,688
6,7,4,2,4,7,30,3.530981092872278,6.592402253757852,722
10,14,2,1,7,0,34,3.5336487271656694,6.908608870893006,743
1,3,10,6,9,3,32,3.511443069098737,7.175671640847702,753
23,3,5,17,12,5,65,3.6401974536156216,6.892345537204467,755
4,4,2,21,6,4,41,3.476400041186054,7.093263784509458,756
6,14,1,21,1,1,44,3.222405849610868,7.507333475587316,752
4,3,10,11,0,5,33,3.106913505916507,7.588430781772163,768
5,7,10,11,0,5,38,3.247817137121472,7.518810580125049,792
9,6,10,12,17,3,57,3.7248628164676063,6.807983180779088,806
11,8,10,11,21,5,66,4.1827309368289765,6.301438208153504,824
8,4,7,13,24,6,62,4.076682383767558,6.519349778094914,846
11,8,5,10,18,0,52,4.002135425972653,7.22836898891375,874
6,11,6,9,10,10,52,3.86480544660942,7.788632321012036,892
14,12,5,2,6,14,53,3.5530815845608017,8.290544974146552,918
6,29,7,1,11,14,68,3.5326877978722275,8.075485749591584,927
8,24,12,11,8,15,78,3.729711973464312,8.10799618088464,943
4,18,14,14,9,16,75,3.8475396127613477,8.32130073570861,947
9,14,11,8,35,8,85,4.06105120523684,8.0058952118013,947
9,8,10,3,29,15,74,3.876435420755477,8.363072725924143,959
26,14,11,3,11,13,78,3.4965654616591393,8.800300053761642,966
18,8,5,1,10,9,51,3.1323469230583956,9.020116315740468,964
9,7,5,1,10,8,40,2.8812651972927177,9.627070138949422,987
10,11,5,4,11,14,55,2.664508393805199,10.246944612579,994
21,24,9,2,6,1,63,2.7595593878306874,9.848871762759217,989
3,25,16,6,11,7,68,3.1205673002833603,9.407703312020443,1000
6,15,13,3,8,11,56,3.4292640455451933,9.131733823653445,1026
8,10,19,3,5,7,52,3.427338321417297,9.490163126037917,1054
7,13,11,5,5,8,49,3.2958479591150276,9.770641923985512,1069
4,10,10,12,6,11,53,3.0380609110546013,10.415710692254324,1066
5,5,8,7,13,11,49,2.804924499384932,10.796625340551161,1082
5,0,6,8,12,10,41,2.4812270904763345,11.685620048199036,1085
2,5,7,6,14,9,43,2.36939329222244,12.303416955947291,1111
0,17,13,2,7,8,47,2.3944725598779946,12.4578598760911,1126
2,24,6,17,19,8,76,2.69263595038506,11.910482914611672,1130
13,19,0,21,17,8,78,2.9522498119359253,11.094306903732877,1127
15,16,0,22,16,9,78,3.2090294599202775,11.005583025893216,1136
14,22,5,21,10,7,79,3.1189345846120875,10.907249304974695,1132
8,16,9,9,30,6,78,3.03110688513218,10.459580618267397,1128
7,4,5,12,23,4,55,2.712444334167033,11.047470182327679,1152
36,2,6,10,10,7,71,2.5050776321076422,11.759582527544037,1140
22,7,6,6,7,1,49,2.27184280681884,12.074828665528019,1135
5,22,5,11,5,1,49,2.201203873131537,12.06038223679628,1134
3,16,5,1,10,4,39,2.2116833438967904,12.373275915636034,1153
14,14,5,1,7,3,44,2.1970835452634336,12.738730972377418,1155
