throughput_KLONGTEI,throughput_KASEMRAT,throughput_NARANONG,throughput_SUNLAKAKHON,throughput_RAMA4, throughput_ATTHAKAVI_RAMA4,throughput,mean_speed,jamlength_percent,Backlog
0,7,10,18,0,0,35,0.6771049380390075,36.62077116599432,2755
0,14,10,2,11,0,37,0.7346652629012629,36.942555590524485,2764
5,11,8,9,0,0,33,0.7631551160419399,37.36523418783083,2781
20,7,10,4,8,0,49,0.8207708711941107,37.092225062275794,2781
0,15,4,11,5,0,35,0.6854037500261085,37.77916060691901,2781
0,13,11,18,1,0,43,0.6192857601772547,38.23415708680255,2783
0,12,7,7,0,0,26,0.5820071800343803,38.085456445026395,2778
0,10,10,17,10,2,49,0.549743717741209,38.25033415061115,2765
0,2,6,14,15,1,38,0.5120475152492939,38.56883028521844,2789
0,6,5,7,13,0,31,0.5350836560087996,39.1441942263129,2797
0,8,13,17,6,0,44,0.5485534995158251,38.98893794129763,2784
0,2,4,14,7,0,27,0.5574825121547771,39.50916864854001,2802
0,10,5,7,2,3,27,0.47430212246563963,40.07125496323724,2813
0,7,14,7,0,0,28,0.4203055971210223,40.11855533632615,2798
0,16,0,0,0,3,19,0.42794486515677094,40.35207219600592,2818
0,3,14,6,0,6,29,0.3885495697070305,40.625374978281585,2828
22,7,0,0,0,5,34,0.39922589319017393,40.573423392073956,2825
0,3,12,16,4,10,45,0.3876969814575654,40.598749019505654,2816
20,4,1,5,12,1,43,0.3698013844321888,40.15535080625211,2797
1,0,10,13,12,0,36,0.35929447124008723,40.60665756770644,2789
0,1,1,15,4,0,21,0.4232450144502112,40.43706030361033,2804
0,5,11,1,7,0,24,0.40695303032417784,40.743097380909205,2811
0,0,3,10,2,0,15,0.4011188663889775,40.68865607986192,2829
24,6,8,2,13,0,53,0.4423203803213229,40.09579633984225,2814
0,0,5,3,10,0,18,0.5093345590429903,40.0310390903306,2820
0,4,1,13,14,0,32,0.49193879760381387,40.27742961111153,2826
1,0,8,6,17,3,35,0.4724347485683799,40.59924613170871,2831
0,1,4,0,14,0,19,0.5323620610765304,40.23943048604365,2838
0,3,9,8,15,0,35,0.5355796133841949,40.34781927002425,2850
0,5,3,12,14,2,36,0.5522189675870642,40.41790693575946,2849
0,2,5,4,6,0,17,0.5242629261052225,40.19796744514222,2853
0,5,13,13,6,1,38,0.5223238843437686,40.079011389009594,2850
0,1,3,5,5,0,14,0.6214657453607745,38.910945746791676,2858
0,1,8,1,11,0,21,0.5994223098539513,39.31361344907031,2855
0,1,1,4,5,0,11,0.589512401582655,39.54170770621763,2875
0,7,7,0,0,0,14,0.5601444184992665,39.85272494004338,2885
1,2,12,12,5,0,32,0.5789740675347005,39.98931039935185,2890
23,13,2,6,0,1,45,0.5685259176784265,39.51337063220154,2878
6,8,11,2,12,0,39,0.5520555985084068,38.9984745938493,2867
0,13,5,12,12,0,42,0.5910179953592215,39.10218779203812,2874
2,11,8,2,13,1,37,0.6359368617168953,38.876043799726695,2893
0,15,1,7,14,0,37,0.6559227109518191,38.69883752836097,2894
0,7,4,10,5,1,27,0.5817808254168212,38.70568341432709,2895
0,12,5,13,12,0,42,0.560797623877195,39.02633012780392,2883
0,7,9,7,1,0,24,0.5875940390673317,38.98251032440157,2884
0,12,6,7,2,0,27,0.5450713324577785,39.42627280024006,2892
0,9,5,6,6,0,26,0.48410692071821304,39.78599367577812,2900
0,7,5,1,5,4,22,0.5244591479254106,39.88133604328,2921
0,7,5,4,4,0,20,0.41683539772422007,40.97245797295336,2936
0,11,2,5,6,2,26,0.4633110722354544,41.0897415405175,2946
0,1,13,6,2,0,22,0.4135579553768073,41.6963320044072,2967
0,6,1,11,1,0,19,0.42636137039461564,41.72329536474595,2984
0,9,0,2,6,0,17,0.3982338495500415,42.51184641414713,2997
0,5,12,6,3,0,26,0.4084197697640563,43.29246448375184,3008
0,9,9,1,0,0,19,0.4456949229821834,43.60844918565136,3026
0,8,4,10,0,1,23,0.39676834724235266,43.80669449718295,3049
0,13,9,0,6,0,28,0.4617695434965523,44.138956836257286,3064
0,9,0,11,10,0,30,0.452267156608607,44.39656251921865,3080
0,12,0,3,0,0,15,0.4128425528352475,44.59979770820738,3088
0,9,0,10,2,0,21,0.385750792232206,44.5631270411178,3104
0,7,16,7,0,0,30,0.39392101041848604,44.5250894953936,3110
0,1,0,7,0,0,8,0.38843108630872303,45.027358115601785,3125
0,6,10,15,0,0,31,0.4214560357130809,45.00579166094411,3131
0,7,2,5,0,0,14,0.4216078897288048,45.712835596358396,3155
0,3,3,14,0,0,20,0.3963661564220341,46.211448565850844,3173
0,0,0,3,0,0,3,0.40172001662481066,46.40604278762572,3190
0,0,6,11,0,0,17,0.3213020030909591,46.71667640017019,3185
0,0,1,5,0,0,6,0.24802696716303277,47.13724676198006,3218
0,0,16,9,0,0,25,0.23759008422231495,47.28168496300091,3207
0,0,0,9,6,0,15,0.25431610832679075,47.030099636534544,3214
2,0,5,0,0,0,7,0.29600222769703866,46.80892989329921,3231
8,0,3,8,6,0,25,0.3345738283609197,46.53982486539621,3236
14,0,2,14,0,0,30,0.3930156223699497,46.310123345709464,3248
15,1,3,3,5,0,27,0.3588659785106464,46.33377138960308,3249
29,0,15,2,15,0,61,0.4222747562853925,45.48922551861999,3224
13,2,7,2,20,0,44,0.4572704392725006,45.39457789667999,3224
12,9,0,11,8,0,40,0.4779102650805457,45.419560909587545,3250
8,6,0,5,8,1,28,0.4425142833112806,45.696505350522514,3267
11,0,12,2,3,3,31,0.49051156409219376,45.68353117664682,3296
9,6,6,5,3,1,30,0.4107789572163155,46.225852034933595,3307
6,0,3,7,0,8,24,0.4295303710017349,46.53140961814878,3323
3,1,2,13,20,0,39,0.43705027233697313,46.97594599039936,3345
3,8,7,1,8,6,33,0.43303772410086494,47.59716193532587,3370
4,1,2,10,0,0,17,0.42628547548838835,48.20944419227312,3388
6,8,1,1,5,0,21,0.39125162697350024,48.675260799423924,3402
5,0,10,9,0,5,29,0.3448954218239112,48.93832657233971,3416
0,13,4,2,6,0,25,0.36490699375500746,49.39786111518394,3427
1,3,9,0,0,9,22,0.3199760870924973,49.45954908866658,3427
0,1,17,5,17,17,57,0.35251245429601896,49.30091106805949,3429
5,1,9,8,10,2,35,0.335375423251243,49.23140015508497,3429
2,0,5,0,17,0,24,0.34913226294117855,49.33415849013391,3438
1,1,1,0,7,0,10,0.29673794010596416,50.140487650421726,3453
0,1,8,2,17,0,28,0.3037046309434122,49.86842783849133,3463
0,2,1,5,0,0,8,0.23961584954857898,50.54485497305217,3472
0,0,5,2,10,0,17,0.24250239437892407,50.84755411155389,3486
0,0,5,6,3,0,14,0.20868244012395218,51.60371785844609,3503
0,1,5,16,0,0,22,0.2010787000914917,51.825670814371996,3516
0,1,3,7,0,0,11,0.17400376728626246,52.53522351700158,3528
0,0,4,5,10,0,19,0.18018657233852137,52.42890021403139,3529
0,0,1,2,0,0,3,0.14499142892167532,53.11278091153701,3543
0,12,0,5,5,1,23,0.17151996348136903,52.937836618452636,3541
1,0,12,2,0,6,21,0.15605005624665616,53.120435744107986,3547
0,2,1,0,0,13,16,0.16476743108666078,53.225672437344,3552
0,3,7,5,4,2,21,0.11625125714943879,53.09514407996543,3554
0,0,0,14,0,5,19,0.1170679601885427,53.20339456827188,3562
0,10,0,12,0,9,31,0.1551921274392146,53.55923861555686,3571
0,2,0,4,0,7,13,0.16461190726116354,53.5821715107773,3575
0,0,0,0,0,10,10,0.1819050527934054,53.46507160792379,3577
0,2,2,5,0,10,19,0.19805831261521606,53.18307249108395,3572
0,2,1,6,0,2,11,0.19773554574474156,53.35260997420015,3571
0,0,8,6,0,7,21,0.19917794072806408,53.481425607755156,3574
0,7,6,1,0,6,20,0.16936537616788425,53.47426652773764,3574
0,11,5,4,0,7,27,0.15124809765039757,53.5071092358735,3576
0,7,5,1,0,6,19,0.14436373216806844,53.59942375059874,3573
0,3,6,5,0,8,22,0.10602936155538162,53.712146901763695,3575
0,8,0,9,0,4,21,0.1042661233673801,53.91335158651215,3576
0,2,0,5,0,7,14,0.08477600701217616,53.73875666139248,3579
0,2,0,6,8,3,19,0.06682975265336683,54.29132716270128,3576
0,6,0,6,0,3,15,0.07049829199113529,54.05554298349566,3576
22,7,0,6,0,2,37,0.10143480490890333,53.818096117786915,3560
0,0,6,5,0,5,16,0.12659524450368007,53.22569761943176,3557
1,1,0,4,19,5,30,0.1408582603146405,53.38045479492144,3555
24,2,1,6,3,1,37,0.1314914665850685,53.01236406095791,3544
0,0,0,9,13,1,23,0.1328900735579608,52.733283334658914,3533
22,0,0,5,12,0,39,0.1668300760824438,52.16130618102833,3522
0,1,4,2,19,1,27,0.16102287733140686,51.887169972529406,3516
25,0,1,5,10,0,41,0.21412636086583858,51.20661656372382,3505
5,5,5,6,12,0,33,0.2037409244608197,51.13285030975247,3488
0,8,6,1,9,2,26,0.26821679540041243,50.69331616267075,3497
0,1,3,5,13,4,26,0.27971904691939226,50.66587078491302,3500
0,1,2,4,6,4,17,0.290136530319472,50.74226438812561,3513
0,5,3,5,12,1,26,0.27102243023241046,50.019027168187186,3503
0,4,5,8,8,6,31,0.29566383514372463,49.62898262812304,3481
0,5,2,5,7,3,22,0.33471688273884154,49.68455594980285,3490
0,13,4,6,5,6,34,0.3306220595006257,49.281086471045136,3471
0,11,5,6,4,3,29,0.37564139065471036,49.45450653651283,3474
0,8,3,7,1,3,22,0.3379182959149969,49.226320694965196,3459
0,13,1,5,0,0,19,0.33926066396656684,49.28346998479018,3457
0,10,1,8,1,5,25,0.40942945250100843,48.67777287157429,3462
0,10,0,7,0,8,25,0.4704981936961427,48.1520823882638,3471
0,14,1,8,4,14,41,0.46364717067389916,48.28900292794195,3458
0,18,1,12,0,3,34,0.4746105709203409,47.40361677090986,3450
0,17,0,3,5,8,33,0.45485581776939876,47.57036067862822,3453
0,11,3,13,0,0,27,0.4347152801161926,47.583782559701895,3448
0,6,2,11,0,0,19,0.4029260843499702,47.804184205231095,3439
12,7,0,6,0,3,28,0.3922898496649679,47.56780090116553,3446
0,5,1,11,8,0,25,0.3825248559898649,47.854409060533676,3434
0,7,5,11,12,0,35,0.4153240899263601,47.58489624375369,3434
0,12,5,7,3,0,27,0.4036226761127213,47.675756016799525,3430
0,13,1,11,2,0,27,0.42616112280700985,48.12208550372866,3449
0,11,1,4,3,0,19,0.4208234621443953,48.801405593050305,3462
0,7,1,1,5,0,14,0.3587008535037511,49.3991758885612,3473
0,10,0,18,0,0,28,0.2923897583103129,50.21786509579303,3484
0,6,4,9,0,6,25,0.26207806321599364,50.778141356972775,3505
0,6,0,7,1,3,17,0.21416390976107957,51.942764935731816,3530
0,2,1,1,0,0,4,0.12149912570986168,52.65006475268727,3539
0,0,0,1,0,1,2,0.10095079424478096,53.47907167704625,3553
0,3,1,6,0,0,10,0.11260880689435167,53.84485733993077,3566
3,4,0,2,0,0,9,0.13642403634042924,54.054535214197486,3571
0,7,11,2,0,0,20,0.1351096357077662,53.91659100315586,3571
0,2,5,4,0,0,11,0.13237811726566123,54.130202995942916,3576
0,5,0,9,5,0,19,0.11837111062619178,54.22587694168485,3580
0,5,0,6,0,0,11,0.06917593316209592,54.42910291394178,3568
0,0,0,1,0,0,1,0.07927552348255375,54.50376443112447,3574
0,1,12,5,0,0,18,0.09306039570343409,54.3831920640209,3577
0,0,2,3,0,0,5,0.0738487513368303,54.44247029997479,3573
0,1,0,5,0,0,6,0.09243192902285059,54.215435855199885,3579
0,0,0,1,0,0,1,0.07061439759342557,54.603362348138305,3594
1,2,0,1,0,0,4,0.06892814305528946,54.70749070287385,3599
0,0,0,15,0,0,15,0.054051088835223964,55.00855507869902,3605
0,0,3,6,0,0,9,0.08608652958600349,54.70257366890486,3609
0,0,0,6,0,0,6,0.06556532675463768,55.073780725242166,3620
0,0,0,8,7,0,15,0.06232260199027296,55.19514212652043,3608
0,0,0,1,0,0,1,0.06269358784244103,55.213046633197685,3612
0,0,5,11,0,2,18,0.05382941619422586,55.27485876435126,3603
0,11,0,0,0,0,11,0.07681273315838673,55.000208254770584,3602
0,0,1,8,0,1,10,0.06895308651264398,54.447934338166405,3597
0,0,0,3,0,0,3,0.08257162289981086,54.69438457771514,3602
0,0,0,18,0,0,18,0.10914603561161193,54.35950052387634,3601
0,0,4,11,0,4,19,0.1393960163474483,54.072385849257664,3599
0,0,0,12,0,0,12,0.12687841165669575,54.336079977976965,3593
0,0,0,2,0,0,2,0.10377031329353888,54.53639898101742,3597
0,0,0,0,0,0,0,0.08299722905942195,54.75323517967119,3609
0,0,0,12,1,0,13,0.053628992071361174,54.77376295439779,3609
0,12,0,3,0,0,15,0.07719615083955443,54.692020637519335,3605
0,0,0,13,0,1,14,0.09633892204317077,54.23054310883681,3601
1,0,0,0,0,4,5,0.08825745893642721,54.617108303471056,3607
0,0,0,18,0,0,18,0.09080661182472655,54.65477584205998,3607
0,0,13,13,0,6,32,0.11934807752919703,54.042538695943364,3595
1,11,1,5,0,0,18,0.17074264476207054,54.12438565500253,3606
0,0,0,1,0,2,3,0.12832821646289033,54.391059282123315,3614
0,0,1,5,0,4,10,0.13236126330577533,54.60129063834422,3627
0,0,0,8,0,7,15,0.05857579137691427,55.0859500745261,3630
0,2,13,7,0,0,22,0.07196795138035608,54.95349482073475,3618
0,0,0,1,0,0,1,0.09049569764310252,54.8403222824238,3625
0,0,2,5,7,1,15,0.10047324825465492,54.44217918537177,3617
0,0,1,0,0,0,1,0.07257654556518485,54.9331350879567,3624
0,7,2,5,0,0,14,0.08520947323552365,54.83675382737422,3623
0,0,2,2,0,3,7,0.08652719962728385,54.607183191323145,3617
0,0,0,5,0,11,16,0.1262893846419044,54.212961887496256,3616
0,1,1,5,0,3,10,0.08054491923019065,54.655617856198305,3611
0,1,0,6,0,1,8,0.08276498369949413,54.402907131153306,3612
0,1,0,1,0,0,2,0.06551134155599223,54.58302308692163,3610
0,6,0,6,0,0,12,0.08432979375187498,54.45591910610923,3610
0,1,2,1,0,0,4,0.062231317385103756,55.040419494500945,3622
0,2,0,6,0,0,8,0.07597063300060378,54.93020507328076,3622
0,5,2,5,0,0,12,0.07667604551195549,54.93086737735036,3619
0,0,0,7,0,0,7,0.07216245225851772,54.71318826379387,3612
0,5,0,1,0,1,7,0.10870053379498638,54.55534549038745,3618
0,8,1,5,0,1,15,0.14007909137784455,54.16040311168812,3624
0,3,2,6,0,6,17,0.125575637212394,54.36091125974712,3618
0,7,0,6,0,0,13,0.10940664348906605,54.64380810424593,3622
0,1,0,10,0,14,25,0.13379406743701483,54.03884224248762,3614
0,7,1,7,0,7,22,0.12671659326529588,54.053349821494365,3607
0,8,1,5,0,2,16,0.14945508420896794,53.916182086756784,3611
0,6,0,7,0,6,19,0.16730107068787622,53.531404765451896,3604
0,0,3,6,0,2,11,0.10818120134698109,53.94619268305561,3596
0,1,2,14,0,8,25,0.15105928542894972,53.58318487649656,3602
0,5,1,13,0,1,20,0.13625256897240795,54.093526033873474,3600
0,6,1,6,0,0,13,0.14211905001948025,54.07030019031446,3593
0,7,0,3,0,4,14,0.1518647257388853,53.94396015309421,3600
0,1,0,6,0,4,11,0.14144495491024492,54.082421054208446,3601
0,6,1,2,0,0,9,0.1302803661879957,53.944396542558486,3606
1,7,0,14,0,10,32,0.1583978256751614,53.616222289910446,3602
0,1,10,10,0,4,25,0.1538866460419171,53.815577581733386,3596
0,6,1,6,0,4,17,0.15724859198719648,53.799202674302606,3594
0,0,0,11,0,9,20,0.13035451999238176,53.659537570005455,3589
0,7,0,5,2,1,15,0.17642413185399355,53.3007553125945,3582
0,0,10,6,0,3,19,0.11099977322220174,53.343023379963505,3572
0,2,5,4,0,4,15,0.11227587377775472,53.817855690230296,3576
0,5,0,5,0,1,11,0.09571867130164394,53.99207791939323,3585
0,0,0,6,0,0,6,0.06537613468986456,54.37520977383512,3590
0,4,1,2,0,0,7,0.07300971483888719,54.340995188225534,3593
0,7,0,6,0,0,13,0.07424277970549412,54.041606282669946,3584
0,5,0,6,0,5,16,0.10815632124954642,53.71721986366567,3578
0,1,0,5,0,6,12,0.0921163903870021,53.72278495035448,3573
0,1,0,3,0,2,6,0.07966164052303032,53.92952314567234,3576
0,5,0,16,0,3,24,0.12048551550390309,53.81828865522356,3578
0,0,1,7,0,0,8,0.12202764597962733,53.66302062495186,3577
0,0,0,6,0,4,10,0.11378832443528085,54.03557360931033,3578
0,5,0,2,0,2,9,0.13154622433422727,53.954169388273016,3584
0,7,0,10,0,0,17,0.14171127907708247,53.78905766516168,3589
0,0,9,6,6,4,25,0.13672479108780525,53.59358842574546,3586
0,8,4,12,0,6,30,0.19558673913804725,53.42764968914236,3592
0,1,1,11,0,3,16,0.18928851431952998,53.616202689073795,3591
