throughput_KLONGTEI,throughput_KASEMRAT,throughput_NARANONG,throughput_SUNLAKAKHON,throughput_RAMA4, throughput_ATTHAKAVI_RAMA4,throughput,mean_speed,jamlength_percent,Backlog
0,0,0,0,0,0,0,7.841417690959361,0.013863418376537978,17
0,0,0,0,0,0,0,8.357546602692858,0.03191168924603467,40
0,0,0,0,0,1,1,9.427196943529145,0.05856460580884322,55
0,0,0,1,1,0,2,9.436909036976523,0.09641970212270316,83
0,0,1,0,1,0,2,9.916821722260716,0.10692876674664575,107
1,3,2,1,0,0,7,9.691232337813657,0.14359207464318152,136
3,8,1,0,2,0,14,9.703186086096615,0.20055612276693238,144
1,1,1,5,1,0,9,9.667965379638975,0.2545772260228171,178
5,5,1,1,1,0,13,9.283394143317787,0.31191714958335565,203
2,4,0,2,2,3,13,9.457884234697449,0.3395522985837776,224
5,2,1,0,0,3,11,8.779582333934329,0.4808192480058523,256
7,7,7,5,5,4,35,8.419707963629248,0.7578419322230459,280
1,12,3,7,5,3,31,8.222636002502217,0.7699187517665015,305
11,9,1,1,1,4,27,8.035406189880424,1.0000034761731524,319
8,9,0,1,6,7,31,7.4816737305236956,1.2313084610482223,340
6,7,0,0,3,4,20,6.941691033108569,1.6529085973656032,361
5,5,11,1,6,7,35,7.021709873431149,1.668289780457394,378
5,18,3,2,9,3,40,6.933118408315941,1.8107674877870206,401
11,4,1,16,5,7,44,6.731109835216525,1.8046919336402354,416
11,10,0,13,4,7,45,6.226075451587441,2.3216157713791246,437
6,6,12,2,15,8,49,6.5660877161342,2.2211648934621038,446
9,12,9,0,7,2,39,6.472798113187095,2.3378441556829466,466
10,6,13,1,6,3,39,5.7960722979982,2.750235861092025,492
8,5,9,2,3,4,31,5.182191273350543,3.5733226307357984,511
8,6,10,14,7,1,46,5.166293717637377,3.558983658628255,521
5,3,11,10,11,5,45,5.3373124536792895,3.5026147208956004,529
9,2,10,11,8,5,45,5.144190471237923,3.7062228017655627,549
10,6,8,1,4,3,32,4.637760101585194,4.438487701382466,577
6,10,7,4,23,5,55,4.996002463672227,4.025043468255742,587
10,7,7,2,26,3,55,5.196904724462095,4.182953880509281,634
13,17,5,2,20,8,65,5.147313291249171,4.239811244115869,653
7,17,8,2,6,7,47,4.968352652656885,4.74790095160256,674
10,10,6,2,19,12,59,5.369154169268685,4.721143348397966,702
11,11,5,3,10,14,54,4.570001702693948,5.273157778869466,707
10,7,15,6,8,15,61,4.5637581972805705,5.481765954206737,734
10,8,7,2,7,13,47,4.177666751776576,6.396872431749635,752
25,11,2,1,12,14,65,4.09581523855589,6.565814775661984,762
19,10,4,17,9,11,70,4.0286013839876595,6.520501256940665,753
5,7,9,21,4,10,56,4.234231394584357,6.242048848953851,767
7,6,5,17,0,6,41,4.00504144598371,6.932521461991255,786
7,6,2,3,12,6,36,3.93749151543112,7.104730731062907,804
13,12,2,14,3,7,51,3.8279852108437993,7.198692330143307,818
7,10,5,13,8,5,48,3.2323804377359564,7.929227622604627,830
11,1,2,9,7,1,31,2.866324582756611,8.859977594793637,852
13,2,10,2,17,0,44,2.6796219826559073,9.06931805127218,857
5,3,10,18,6,0,42,2.9345675017674906,9.064916318894516,882
5,0,11,20,1,3,40,2.872375231318227,8.915596022384563,879
8,25,10,22,5,4,74,2.995812536271296,8.52130687901234,874
3,28,10,9,9,2,61,3.3482917840455557,8.382612004716595,893
1,31,11,14,9,7,73,3.534437420732981,8.25701204800353,899
8,20,11,13,24,6,82,4.210335144319923,7.227786413980832,911
8,14,10,15,26,9,82,4.516583482058013,6.874734451798384,909
17,28,8,6,24,7,90,4.4495696081029825,6.922554485902857,923
9,25,7,17,17,8,83,4.373222647906858,7.147609561518986,928
11,16,8,13,7,8,63,4.019438259131186,7.603184664892235,942
8,9,7,4,24,9,61,3.9437351814455397,8.012096213688404,962
12,19,7,0,15,10,63,3.6757059213253864,8.458112539891935,984
12,12,5,10,10,10,59,3.2933620856469616,9.399370699898876,1007
8,9,8,1,10,10,46,3.051433121014759,9.942811404162407,1017
26,11,7,1,5,10,60,2.981536090037439,9.868947284257713,1029
17,21,8,1,6,10,63,2.955554217909769,10.116214734465798,1037
5,22,18,1,10,8,64,2.8916713202806092,10.079556717188499,1037
11,9,13,2,10,7,52,2.9624986461430995,10.468636242237197,1068
8,13,11,2,11,5,50,2.717993816764908,10.817806863186378,1078
10,11,10,0,6,3,40,2.5375125557915057,11.117902285430834,1085
4,15,12,18,10,8,67,2.5313967339629007,11.412704315622987,1089
10,7,9,20,7,8,61,2.435826477449026,11.139184445249578,1071
8,9,10,21,6,3,57,2.4970783905774323,11.059466892720325,1063
4,6,7,19,7,4,47,2.5014515725496653,11.307258330051077,1074
12,7,5,14,8,4,50,2.4705191629696586,11.51279854052923,1078
8,8,14,2,5,0,37,2.237472413029708,11.634557871743255,1080
6,3,11,3,4,4,31,2.2266645599219244,11.897670487458798,1095
6,4,5,1,17,4,37,2.3471513318913693,11.894499077304278,1111
5,5,5,2,12,6,35,2.24477798784322,12.115501797414343,1113
6,3,4,10,7,5,35,2.2376925710241893,12.353306081627498,1135
4,5,5,13,6,7,40,2.262248137223813,12.23102647490541,1151
1,3,5,13,6,1,29,2.248346851632713,12.655398769980748,1147
8,18,6,9,22,1,64,2.7163772033673825,11.597391730420233,1158
2,20,5,13,21,4,65,2.98279243016986,11.69988671746123,1178
11,16,5,7,19,4,62,2.8704313045168797,11.796243161843636,1201
