throughput_KLONGTEI,throughput_KASEMRAT,throughput_NARANONG,throughput_SUNLAKAKHON,throughput_RAMA4, throughput_ATTHAKAVI_RAMA4,throughput,mean_speed,jamlength_percent
0,4,0,1,8,6,19,0.23501454951888873,44.81907681564941
16,4,5,1,0,5,31,0.21183473255632984,44.76582985994809
0,6,5,2,0,4,17,0.2221815385229305,44.77542952471584
0,3,5,1,8,3,20,0.23800019895150729,44.56304240746591
8,6,5,2,5,7,33,0.2592176858319024,44.27364659401498
0,6,5,4,2,6,23,0.28311178606108095,44.20832311369081
0,8,5,6,6,4,29,0.303118505879315,44.11453221785474
0,5,5,4,10,6,30,0.31327736998651573,43.99366748279039
1,6,6,0,8,3,24,0.3291531025908324,43.67380979604623
0,4,5,0,7,6,22,0.3441123724352275,43.70615447553558
9,6,0,11,3,5,34,0.3908700367781468,43.63850624499324
0,7,5,4,5,7,28,0.3524429210744748,43.65165091988835
0,5,5,1,5,7,23,0.34555147452341717,43.83570228094457
0,10,5,2,1,4,22,0.3618064731762523,43.40257531844578
0,4,5,2,1,4,16,0.4747002368850905,42.983395119149804
0,5,0,2,8,7,22,0.5479789942876161,42.75758566439221
6,8,1,7,8,5,35,0.6212716407684942,42.52367348196996
7,5,0,0,4,4,20,0.5622592367131314,43.20580360434358
7,3,5,7,3,3,28,0.4916146686099337,43.56916308988731
0,4,0,4,7,3,18,0.4148166699043199,44.001210305069
11,3,3,2,7,7,33,0.41385776382915224,43.74760180683136
0,6,5,1,1,5,18,0.3109880902658674,44.81636026668052
0,6,5,3,6,2,22,0.3012943470855437,44.786791055014774
0,3,4,0,9,3,19,0.2939806122725124,45.385165898568225
3,2,5,0,9,3,22,0.30658970258267293,45.327802543528456
0,2,0,0,6,1,9,0.3152411085880796,45.68449216466749
1,2,5,10,1,6,25,0.34274880260590274,45.006590690032276
0,4,5,0,8,6,23,0.3381463687735846,45.18077486614188
14,7,0,1,2,13,37,0.41103952349683426,45.39525649482224
0,9,4,2,0,6,21,0.2966275190770611,46.092061882161666
11,8,0,2,3,5,29,0.2843137265352358,46.05396246885457
0,0,0,2,15,2,19,0.29372987776986587,46.07044476881731
2,7,2,2,7,6,26,0.33550090837582264,45.6624819170256
1,4,2,0,3,5,15,0.32189876673978746,46.01033809377736
5,6,0,0,0,2,13,0.2658455816162395,46.047542395686804
4,3,2,10,1,5,25,0.4479341894552614,44.93368383929724
2,3,1,2,10,15,33,0.4583705370126354,45.03044015667846
0,10,1,3,7,4,25,0.42838586562680026,45.405793009466954
2,6,4,1,1,13,27,0.38223949021784986,46.278203104723666
5,9,1,1,0,5,21,0.3935902235822945,45.21665568233229
3,6,0,0,0,6,15,0.35710469114063054,45.30444073616939
0,6,3,0,0,6,15,0.3261827386299746,45.36987966506221
0,6,4,0,0,9,19,0.29795917653842796,45.8514934324398
0,8,0,5,4,7,24,0.2735530960617156,46.329227743205465
0,5,0,0,2,5,12,0.22335794709565965,48.01904866955243
2,8,0,6,0,5,21,0.205718101075002,48.5518227183789
0,5,0,0,0,5,10,0.18235650596536307,49.86122186108891
0,4,0,5,0,3,12,0.17045174473897098,50.546855844747874
5,9,0,6,0,10,30,0.201730115553266,49.95797216264735
0,14,0,6,3,4,27,0.251675805171618,50.09241056673658
0,7,0,6,0,6,19,0.22254683017337726,50.11162264232021
0,18,2,5,0,2,27,0.2943251615570276,50.071044083806036
0,4,0,7,0,5,16,0.2762209655425293,50.079007198535265
5,7,0,0,0,5,17,0.32789787920323765,49.40899077760988
4,13,0,5,0,11,33,0.3206417548480974,49.551895437801356
0,14,1,5,0,3,23,0.3005178840314874,49.80041428328234
0,9,2,5,0,5,21,0.318938568599227,49.611691228465176
5,11,1,0,19,5,41,0.42232062405708254,49.460135516512466
0,13,0,0,3,5,21,0.35337880393440135,49.484114154109136
11,11,0,5,0,4,31,0.36207176544025554,49.10058585474473
20,8,2,0,2,8,40,0.30669166636797557,48.64016312673912
5,7,0,6,2,5,25,0.34103928357928237,48.735539127423934
5,7,1,5,0,9,27,0.33348297971031293,48.8613913864439
13,6,2,6,0,4,31,0.3249692530703447,48.47619809849314
7,5,1,6,18,3,40,0.3582255899032976,48.358230059809884
1,8,1,0,0,8,18,0.2757460889286171,49.11599850173288
11,6,2,0,16,1,36,0.3328013407457912,48.11878132646576
0,1,1,0,6,6,14,0.3663064581628902,48.360258215853875
15,6,3,5,0,2,31,0.399970579320598,48.41464981954153
0,12,1,5,13,3,34,0.41252563921695595,48.60656402591212
31,7,3,5,0,11,57,0.4836476595491101,48.07845418837622
7,15,2,1,12,14,51,0.5338200766886647,47.120243443400256
0,13,1,6,4,7,31,0.4899413566752725,47.274472280918175
11,19,5,6,0,6,47,0.6148541999892573,46.11961056785471
6,8,2,0,7,8,31,0.5683649821655139,46.28471675534408
9,8,3,6,10,8,44,0.6027843852647978,46.22715833913869
7,6,0,10,6,8,37,0.5916258439964495,45.64483752343974
0,7,3,16,7,5,38,0.5772321084348603,45.66779287426301
1,6,0,0,7,4,18,0.5438843340338432,46.522144725960096
14,4,1,6,0,11,36,0.5745731895569748,45.88215065162627
10,0,0,9,6,6,31,0.5617199085600102,45.42255220115239
0,15,0,10,8,7,40,0.5682879739461285,45.908635341823036
0,7,2,0,3,8,20,0.5005297436090179,46.67901629326185
17,17,0,12,0,5,51,0.6099547532838812,45.57500903208711
19,10,2,9,9,11,60,0.5935943216997361,45.71829444596597
12,0,4,9,0,0,25,0.5470443083824469,45.1634254860296
2,16,6,4,0,6,34,0.5777544144354817,44.627223115152766
13,19,6,9,0,12,59,0.7057575492796284,43.3574028594733
0,14,8,0,17,5,44,0.7421651636995678,43.386383874002604
0,8,5,2,9,3,27,0.7083632328540821,43.96029175084852
0,8,9,0,13,5,35,0.7630080888468829,43.677288396969324
11,11,11,0,1,5,39,0.7444980305719009,43.74316747673859
1,18,14,0,16,11,60,0.7432727089640899,44.340254046064
6,11,13,10,6,11,57,0.6897012847047148,44.432825710820445
12,10,1,0,7,10,40,0.566576194470636,45.43398486283214
5,12,10,0,6,2,35,0.6429563643663722,45.56601679786735
0,9,2,0,2,14,27,0.5797568736428105,46.40694488105034
7,8,8,0,7,7,37,0.5568818913975573,46.98014646176827
10,12,4,0,6,9,41,0.6154410285962426,47.613523821544696
9,14,5,0,6,15,49,0.5099302474502257,47.95146843088251
12,2,5,12,11,6,48,0.5435814618793141,47.71909643414615
11,12,0,14,12,14,63,0.5555399491215861,46.80010170173851
0,16,0,14,5,8,43,0.6317398617566768,45.23208172945054
1,18,0,0,10,7,36,0.8018950692158966,43.87076430852229
11,5,0,0,2,10,28,0.8013037629010319,43.901919552584125
9,6,0,12,8,9,44,0.7556787135193025,44.4967481967068
10,14,1,0,20,8,53,0.8007306643832901,44.37511682894029
12,16,1,0,4,13,46,0.7440943190787195,44.624687287393215
0,16,5,0,19,12,52,0.7131972376515259,44.75645074688793
13,0,5,0,6,5,29,0.7543150239479556,43.714193048337975
12,18,5,0,8,12,55,0.7609609866859288,43.94487526294993
0,4,5,12,5,6,32,0.6552405439613537,44.588211074512046
1,17,5,13,12,10,58,0.6460177463714682,44.6928377535817
15,11,5,14,6,12,63,0.6790780811653435,45.404967787028234
31,3,5,16,2,0,57,0.7072216794844677,44.06796971991448
0,20,5,1,13,3,42,0.6487403498650098,43.92190257507612
9,7,5,0,10,12,43,0.6537403496565242,44.05874507035733
11,20,2,10,8,7,58,0.7392872716077286,44.04725135035121
16,10,0,0,9,7,42,0.8524004622581843,43.56454132964556
10,11,4,0,6,10,41,0.8200396299192488,43.944533989465306
6,8,0,0,3,9,26,0.6587013823087433,45.19615813620796
13,11,0,0,15,11,50,0.6740816974369548,45.335167931259456
10,22,0,0,10,0,42,0.7234834633877881,43.66244220793198
8,9,0,11,18,10,56,0.7953375720652334,44.088849649989264
10,11,0,0,1,7,29,0.7452582993978771,43.70767281400846
11,12,6,11,13,23,76,0.7927653179040897,43.46657848814272
2,13,2,0,0,4,21,0.6253567810409235,44.314249102797035
15,0,0,0,0,4,19,0.560551234476754,44.6839544394176
0,10,0,11,15,6,42,0.5661129491286485,45.3964857723344
11,3,0,13,7,6,40,0.6615809784325417,44.41520308790624
8,16,0,0,7,5,36,0.6992082397760149,44.253829495322705
8,5,0,0,2,1,16,0.6393419418528492,44.69860050114104
8,21,0,11,7,2,49,0.6602565591280443,44.52949373560637
17,2,0,14,6,6,45,0.7051858859296308,44.47939845515355
8,21,0,0,6,5,40,0.7501698646788892,43.951205277760614
9,5,0,0,3,4,21,0.7466447187048911,44.10866694208592
13,19,0,11,10,0,53,0.7210327693249933,44.31104462503324
9,5,0,0,9,1,24,0.6993715020218343,44.99653412732295
4,12,0,0,5,6,27,0.659268888102095,44.344480363270215
4,4,0,0,7,6,21,0.610208748556325,44.71708941930883
7,13,0,0,2,7,29,0.6737213392841623,45.13518575605211
5,4,0,0,1,7,17,0.6297923181160738,45.85341007619726
10,10,0,11,3,6,40,0.5687835728072742,46.16680411294557
6,4,0,6,6,0,22,0.48377947702448304,47.29244058473664
3,12,0,0,4,6,25,0.4767559087487832,48.21568305586084
7,2,0,0,7,6,22,0.4801185576894287,47.99839366153509
0,11,0,0,7,7,25,0.48768901705934325,48.528042798477514
12,4,0,0,0,6,22,0.4496551983220026,48.65043729500307
4,12,0,1,17,7,41,0.5729682951261434,47.91657272282459
7,2,0,0,2,7,18,0.6001078432462321,47.58151748929033
13,11,0,0,8,6,38,0.5806781160794602,47.70183956649472
7,4,0,1,0,8,20,0.5251458421293644,48.58032965775406
3,16,0,0,3,0,22,0.46441328896301476,48.054491024117475
0,3,0,0,0,6,9,0.46035726469808136,48.11379342120832
0,14,0,0,5,7,26,0.4731558368315985,47.84608895107863
5,4,0,1,7,7,24,0.38351776213824074,49.44728654282364
2,14,0,0,1,6,23,0.3419661129551393,50.36324823428001
0,7,0,0,6,6,19,0.3810913959723246,50.46624416580554
0,3,0,1,6,5,15,0.3085476260991241,51.533944321650736
4,7,0,0,5,1,17,0.32053560479113274,51.90206781929189
0,18,0,0,6,9,33,0.3265295176457694,51.3905007349484
4,4,0,1,2,0,11,0.282736611712495,52.31108424736452
0,18,0,0,13,0,31,0.35299651308176505,52.51694771560377
5,5,0,0,3,1,14,0.3377489122391495,52.93546034034617
19,1,0,0,0,0,20,0.3225456995393942,52.12923042025334
1,0,0,0,15,0,16,0.3583269605479439,51.8277132571606
1,10,0,1,7,2,21,0.3713532006979591,52.64170727307207
15,0,0,0,5,3,23,0.3708785522150984,51.74916409724
2,3,0,0,0,0,5,0.30999784585988144,52.71461730948237
9,2,0,0,1,1,13,0.31105611050865933,53.2497717525749
6,1,0,0,0,7,14,0.24034874031750159,53.874039421688416
2,14,0,2,0,3,21,0.24925301967570132,54.02464893579084
0,2,0,0,6,0,8,0.23373288784526663,54.63929083974351
0,12,0,0,1,2,15,0.24484075186800067,54.33165523168
0,2,0,0,0,0,2,0.2298396064470234,54.97815431254175
0,12,0,0,0,0,12,0.23216145256606185,54.87766541433926
0,1,0,0,0,4,5,0.19139643076415125,54.81465525484492
0,13,0,0,0,6,19,0.179653829107788,55.376947468693075
0,2,0,0,0,2,4,0.17121486867391905,55.323854692656525
0,14,0,0,0,0,14,0.1750844319680398,55.34748545129679
0,3,0,1,0,0,4,0.12070622132948489,55.98069501377299
0,1,0,0,0,0,1,0.10737739258098059,56.281912507199614
0,11,0,1,0,0,12,0.11799986250448313,56.512154356877076
0,2,0,0,0,0,2,0.09846370866574579,57.02459697056011
0,3,0,0,0,0,3,0.07776914035042065,57.5301327083577
0,0,0,1,0,0,1,0.08021745477176637,57.7569713307417
0,0,0,0,0,0,0,0.08148651798845538,58.33073096111918
0,1,0,0,0,0,1,0.05153946015004359,58.92562291903889
0,0,0,1,0,0,1,0.05387537589220801,59.17106041975242
0,0,0,0,0,0,0,0.0401611001310567,59.3514622339473
0,0,0,0,0,0,0,0.02670105100606263,59.51352276406752
0,0,0,0,0,0,0,0.028450453705086965,59.591040941089766
0,0,0,0,0,0,0,0.042480799404509224,59.671058079753635
0,0,0,0,0,0,0,0.023060774234101192,59.703224761713365
0,0,0,0,0,0,0,0.020255511974289014,59.930525362100916
0,0,0,1,0,0,1,0.03114229607546951,60.07430852834489
0,0,0,0,0,0,0,0.030659884955975533,60.11368733774545
0,0,0,1,0,0,1,0.018259162303256037,60.238834060852355
0,0,0,0,0,0,0,0.020290556004885208,60.28566649477392
0,0,0,0,0,0,0,0.0193650316639443,60.34864483935126
0,0,0,0,0,0,0,0.020593023942241603,60.41085707240976
0,0,0,0,0,0,0,0.026268554192058365,60.47475874179147
0,0,0,0,0,0,0,0.023789714996415346,60.614195934265084
0,0,0,0,0,0,0,0.02087770179649506,60.65579197508842
0,0,0,0,0,0,0,0.035872214406350245,60.69739922235811
0,0,0,0,0,0,0,0.035403862551493505,60.77565187922715
1,0,0,0,0,0,1,0.05016130684405069,60.81824808252557
0,0,0,0,0,0,0,0.042150329730517015,60.86520753845837
0,0,0,0,0,1,1,0.038566731159243875,60.95905871613258
0,0,0,0,0,0,0,0.04347252202853949,61.06190156978176
0,0,0,0,0,0,0,0.02221616101231178,61.154019321802515
0,0,0,0,0,0,0,0.021165421043648536,61.23997933123535
0,0,0,0,0,0,0,0.0340333333398018,61.237465432610485
0,0,0,1,0,0,1,0.028332293497130945,61.32527904094388
0,0,0,0,0,0,0,0.027370254292930284,61.410436106294966
0,0,0,2,0,0,2,0.026812346147096166,61.434689950181316
0,0,0,0,0,0,0,0.026982233522704815,61.51309818110617
0,0,0,1,0,0,1,0.02154992550601641,61.6069076089722
0,0,0,1,0,0,1,0.016062456836600358,61.669456437431876
0,0,0,0,0,0,0,0.019615814603165988,61.70074750466572
0,0,0,0,0,0,0,0.018059190273745418,61.77908484540945
0,0,0,0,0,0,0,0.025842780204558855,61.825912150393336
0,0,0,0,0,0,0,0.026708443842236498,61.867500667955014
1,0,0,0,0,0,1,0.026533665122124104,61.96142190123738
0,0,0,0,0,0,0,0.02713480045885963,61.99261739480231
0,0,0,1,0,0,1,0.021606930930604725,62.02392687158575
