JamLengthMeter,Speed,Flow
0.0,0.0,0
0.0,0.0,0
0.0,12.127458607312292,0
0.0,5.790679927263409,0.13318126348231668
0.0,5.078433739903216,0.036606798081525734
0.01717719169907935,8.727208075268853,0.48009824962050074
0.04095706876761776,8.480141740317903,0.1375990093266953
0.04095772995178296,9.667094804624554,0.5739864225708495
0.04095772995178296,9.806393448597914,0.36832019553204964
0.04095772995178296,9.631701370757185,0.25371400227760155
0.04095772995178296,9.496359416740003,0.33238644903142284
0.04095772995178296,9.763584593002273,0.48137348673140357
0.04095772995178296,7.9966171363103955,0.5238201048176289
0.10692735651342078,7.629077533989069,0.885153365264022
0.1304352517588131,8.152970399105232,1.0575201499026972
0.1304352517588131,7.108352694252914,1.0367011483697441
0.1304352517588131,9.093522160059582,0.9386931770335455
0.15394438113738843,9.694330637758565,1.1361263598099174
0.17745351051596372,9.658937693812042,1.828649206309881
0.3197607279798212,8.899735792220428,1.4889256559125903
0.41543322288271917,9.124128667750671,1.139337145204733
0.626808233171442,8.189187980721092,1.2565341085996184
0.7571101424483566,7.664067517670223,1.2924366367090616
0.5826932635326167,7.586031107663025,0.893947681002178
0.48513444000104367,7.828539224856115,1.1273706663265448
0.5321526987581944,7.613950206319371,0.9622371631243599
0.6744543986438775,8.363893134016923,2.004470985877004
0.7341835536857471,7.973067763337637,2.6701751013576636
0.9365964207494967,6.477996478589376,1.7898940754822583
1.260599496428211,6.378696464109935,2.303854254442299
1.3614824809162878,6.379467911298484,2.464953592763096
1.2203220686541854,6.4588462439047785,1.573240684850417
1.4222256591298748,7.032292806220234,1.5221157173297903
1.4435047793690454,7.20461262225847,1.6023792799152587
1.6563090119857646,6.737045887253139,1.754513597396617
1.698921991325467,7.21092157023247,2.096717529264573
1.638227225385408,7.158884346111676,2.625788899461997
1.9385526848245622,7.613408333998464,2.8328895002587915
2.188048687195608,7.1359818578591545,3.1678281944500184
2.416236113032664,6.904368690599514,3.530350414740145
2.5751511394333817,6.791260756735957,4.248687571883188
2.587717478695329,6.233864922266421,2.802955121926547
2.7746506202189867,6.28365921892996,1.9089299724198971
2.9042602513624933,7.892481763773312,3.9483471648913087
2.790518425806139,7.879262824626675,3.7711324823974848
2.9144147281983352,7.290808826302285,3.39023470987542
2.770331583950623,7.506268402933542,3.218025176522759
3.2380596572773395,6.931479340760042,2.816627495035574
3.3926743971804916,6.889473607463815,2.8880093184103135
3.4873496555432704,7.120850570169597,3.2154638967286755
3.053351478283145,7.110702722201778,3.3298581588614007
3.4637934044245644,7.270085824429201,4.0249102309274365
3.856204549878871,7.5480277686195505,3.606324310189647
4.320272262468252,7.337130721272506,3.3692910804362914
4.3595132347023755,7.370975129447163,2.791063623286814
4.299403059205415,7.430046233340446,4.5985571916755
4.489505338327993,7.515174452122941,5.648072973321605
4.880666499643038,7.184157782348833,5.739487842594914
4.988908597854054,6.797638233509292,3.7905451656975764
4.991340169646878,7.0580651367408365,4.600109056563113
5.426364180903816,6.535338423670197,3.1525937941778244
5.848271646891461,6.573912871970061,3.5374971439524705
6.238945449082887,6.153306165805271,3.019175361193395
6.57640877773416,5.564558468259241,3.8557098860618013
6.762612445613084,5.819007756524783,3.446812084950276
6.9753460607858795,5.291542334846643,3.059031325327268
6.680854583242485,5.214477194758235,4.433289816642608
6.965206368416185,5.288543465094386,3.4351430420223865
6.670445610519373,5.145964724896994,3.7163972006507335
6.953686721684364,5.449135263228474,3.8446130975126867
7.2938535874429995,5.3923934689637045,3.4029583002100785
7.515508992335322,5.114154663962896,3.055857649905043
8.245060551956863,4.7965361255640895,2.568951752930123
8.621967255203138,5.056231051409604,2.49854762362054
9.065343896361762,4.987595193141955,3.3191638663104155
8.993382712929607,4.589645871339331,4.070323525854382
8.926395170125174,4.949836621352681,3.2045461051889337
9.376123539456307,5.591596608722055,2.216593208476676
9.63488032257522,5.688047500345815,3.485526217982838
9.679961952080248,5.917311869061693,3.4030874743962896
9.793556235993442,5.66523559252911,3.113611293910045
10.01816285406529,5.839898557937064,2.6204964432380646
10.465832066973956,5.877791131801373,2.181417372680352
10.600192110621382,6.108703281827826,2.198191552525045
10.070877255682094,6.42436934475609,2.6923591040029056
8.950882343269937,6.106623828876038,2.7256100665698733
7.852166408394375,6.256973126150813,3.71207474282132
7.454566022188128,6.772065175478317,3.5666519466128026
8.20984603639832,7.307841588118148,3.407964433248522
7.051659534052694,7.723522735533411,4.432263784077993
7.106136075439901,7.708363877038946,4.22990232472413
7.369865338494079,7.168068073047796,3.444501527265706
7.14178410495119,6.969529237839005,3.5935984412871376
7.770654093572552,6.978725319713356,3.1642874593771477
8.027471405489832,6.431918965900194,3.3428414153809576
7.915289378212509,6.673976287296166,4.022745748697759
7.951109573926472,6.803336709237337,4.132641625421842
8.1853343861008,6.068686537267723,3.458746123969964
8.084702619516255,5.840090798932834,4.00919631734997
7.953077314987253,5.897030144019118,4.4351999862511065
8.14637451345476,5.7346952821536155,5.505614955061378
8.664165876120457,5.477636429514564,6.132542139677517
8.236837280946807,5.748557522802363,5.869757386792592
8.013904486245629,5.248795088365546,4.319224899215144
8.442373701701248,5.319542730133224,4.187445096926334
8.727474704802002,5.597388842602176,4.198948995962559
8.843867944367855,4.681170035418466,3.3752807112375516
9.417072037469309,5.004943711243029,3.743044293896617
9.815688332578832,5.0807461094316695,2.845443355775644
10.281176589772075,5.407586719295842,3.5271490555779743
10.6034972373577,4.596546308135815,3.1911524216877334
10.365361847293398,4.1285401399684645,2.5737316999023117
10.496749465890908,4.110479568630643,2.7651617194520295
10.289569489015426,4.33680288300778,3.0201929816847866
9.419177094953282,5.205889654843028,3.9582243830590063
9.052329389763699,5.4270888636359285,4.816874954278622
