throughput_KLONGTEI,throughput_KASEMRAT,throughput_NARANONG,throughput_SUNLAKAKHON,throughput_RAMA4, throughput_ATTHAKAVI_RAMA4,throughput,mean_speed,jamlength_percent,Backlog
0,5,0,0,0,3,8,0.4776035276830597,32.542977185178735,2269
0,4,0,1,0,3,8,0.4596828266047779,33.17803598539566,2284
0,4,0,1,6,4,15,0.4905601149213749,33.492599600204684,2306
8,7,0,0,0,3,18,0.4262723369744405,33.88077719638561,2322
4,3,0,0,0,3,10,0.35069683387253014,34.35901252520132,2331
0,3,0,0,0,6,9,0.3303973430165501,34.72114778894149,2351
0,1,2,0,0,1,4,0.30243697952970344,34.9152840665859,2378
0,8,5,0,0,7,20,0.33040909780100586,35.00237996037902,2389
0,16,5,0,0,2,23,0.43162515185721795,34.917351258527674,2404
0,14,5,0,0,5,24,0.5001618623151513,34.90210016186315,2418
0,16,5,0,0,5,26,0.5359229522867573,35.064212205114174,2433
0,7,6,0,7,2,22,0.48290173380472934,35.110753163815666,2440
2,5,0,0,13,2,22,0.4707745577802268,35.55459763916568,2455
7,5,0,0,10,1,23,0.4449792459960538,35.55440537926379,2461
0,2,1,0,4,6,13,0.4173072977953541,36.01191735818297,2475
0,7,0,0,3,5,15,0.33753864480566803,36.36040721158298,2479
0,3,0,0,3,3,9,0.33456647803334805,36.664359551410584,2500
3,1,0,0,2,2,8,0.301816781313911,37.00773252666379,2519
8,8,0,0,1,3,20,0.2819295499223736,37.037216134981605,2515
6,17,2,0,0,4,29,0.3671949900839092,36.92190236232403,2522
3,17,6,0,0,1,27,0.47380381116322073,36.580607334811596,2525
0,5,5,0,0,4,14,0.4499611811894462,36.71111097889072,2532
0,3,5,0,0,7,15,0.42724244611874507,37.08161065842229,2540
0,8,3,0,0,5,16,0.3821420686132878,37.27536159270404,2549
0,7,0,0,0,3,10,0.37770283948119937,37.520447578849094,2569
0,5,0,0,0,3,8,0.27744518866661166,38.01469593009891,2583
0,4,0,0,6,5,15,0.2770270135222383,38.361899046443845,2593
1,5,0,0,17,6,29,0.3214619694176608,38.83004919800426,2608
4,0,0,0,7,5,16,0.30679128280984524,38.84590625237422,2622
0,8,0,0,0,1,9,0.29811095821947364,39.09279478636719,2631
0,20,0,0,1,3,24,0.35502998137514796,39.06930543081382,2640
0,16,2,0,0,5,23,0.39382544099025457,39.11518973213435,2649
5,11,0,0,0,2,18,0.3549851491326854,39.45348199441672,2660
5,1,0,0,0,3,9,0.34139039178919334,39.67318815724928,2674
3,2,0,0,0,2,7,0.3374576753450238,39.97442722899446,2683
0,3,0,0,0,2,5,0.26701851548301503,40.17448599728042,2688
0,0,0,0,0,4,4,0.24741775739185654,40.465880985634506,2700
0,2,0,0,0,4,6,0.21553043349260895,40.76531328289475,2712
0,2,0,0,0,4,6,0.2363634636852679,40.87402007980489,2724
0,0,4,0,0,4,8,0.24724205845038413,40.91185359019312,2731
0,2,5,0,0,5,12,0.2384412881943132,40.897691024933195,2735
0,19,5,0,7,2,33,0.28654101389192826,40.358578756843514,2725
2,18,5,0,15,5,45,0.41798527088773074,40.0959284951876,2729
3,2,5,0,8,3,21,0.3898072273963413,40.14919263724206,2727
0,3,0,0,0,3,6,0.35441379451968436,40.41359062141912,2737
0,3,0,0,0,0,3,0.3151900053862591,40.792594100243804,2753
0,0,1,0,1,4,6,0.289355296685692,40.96612607509998,2760
8,1,0,0,5,4,18,0.2672892917483738,41.36082430491625,2767
6,3,0,0,1,4,14,0.20105210234674173,41.5941415349721,2770
4,0,0,0,0,4,8,0.21520789461621118,41.846667111774494,2787
0,0,0,0,0,5,5,0.22820039625922198,42.02712700842241,2802
0,2,1,0,0,4,7,0.22193447737691072,42.2405351019053,2811
0,18,4,0,0,2,24,0.25871140239202345,41.855317050819664,2810
