throughput_KLONGTEI,throughput_KASEMRAT,throughput_NARANONG,throughput_SUNLAKAKHON,throughput_RAMA4, throughput_ATTHAKAVI_RAMA4,throughput,mean_speed,jamlength_percent,Backlog
0,0,0,0,0,0,0,9.904311108768514,0.0,12
0,0,0,0,0,0,0,9.510618986914455,0.01033450002829683,29
0,0,0,0,0,0,0,10.022759566896088,0.025972844830059516,47
0,0,0,0,0,0,0,9.870536560620804,0.025972844830059516,74
1,0,0,1,0,0,2,10.333945156036938,0.08519748163136198,102
1,2,2,0,1,1,7,9.692544718728476,0.1610700015374209,136
0,5,0,0,1,1,7,9.59040697712632,0.21950449024332105,151
1,3,2,9,0,1,16,9.781123340995398,0.22396879390330995,183
1,4,1,0,1,2,9,9.565911879737097,0.3048554958352322,215
4,7,1,1,2,2,17,9.609625254065127,0.3680565639198997,243
5,5,1,2,3,7,23,9.189191544933953,0.5175431478361121,276
5,9,0,4,3,6,27,8.801754790284336,0.6614450677980692,295
2,18,2,3,4,5,34,8.091185174206931,0.7841682703197494,329
18,10,1,0,2,5,36,8.058923419855786,0.9231542675832608,344
8,13,0,2,9,6,38,7.6906583991621265,1.2702216059362201,367
6,6,0,17,3,4,36,7.2251683175567365,1.4735316566947083,383
8,10,8,6,9,4,45,6.976430203527641,1.6296321900755324,393
7,13,3,3,5,7,38,6.913962118930531,1.86907877695987,411
7,10,1,3,5,10,36,6.385114760790056,2.1514412787870896,429
11,11,4,5,6,8,45,5.762254530778522,2.5890359297851004,431
8,8,10,14,12,1,53,5.936731849637194,2.3015304652445128,438
8,4,7,11,4,8,42,6.443676126846525,2.134033213535294,475
5,5,12,2,4,7,35,5.954884994084839,2.634501668342636,505
4,6,8,2,5,3,28,5.596015419233568,3.0979506061065982,528
8,7,14,17,10,6,62,5.865770536502213,3.1931292794688964,541
5,10,10,7,11,7,50,5.466727797367209,3.6103062857194446,546
9,10,5,1,3,6,34,5.115366369841638,3.9292957596883924,568
10,10,6,3,4,2,35,4.933409772570178,4.25002240383219,589
7,6,9,9,21,5,57,5.1625355625,3.7004760845418887,594
13,5,11,7,27,12,75,5.37818626318537,3.679036419320554,608
8,24,5,2,22,8,69,5.370243883911851,3.644067460353758,629
9,19,8,1,5,5,47,5.028423092596481,4.413532172641768,657
10,8,7,16,3,10,54,5.191666428464085,4.486164411887822,662
11,9,6,11,18,13,68,5.132541059855737,4.437808866066407,663
9,17,6,12,15,14,73,4.573462480019267,4.919067307624814,655
9,15,8,6,9,14,61,4.450883731574257,5.322215620237299,677
12,12,10,4,7,13,58,4.400370102953078,5.554526665400758,694
35,9,10,4,6,9,73,4.4415510253685255,5.321330820343749,693
15,8,12,5,4,13,57,4.382531589787874,5.266175514756457,685
6,9,12,4,9,7,47,3.9622789548373665,5.6287488442581814,689
11,8,8,14,14,10,65,3.806026452082301,5.783668225119468,683
19,8,6,17,7,8,65,3.69913274659943,5.866303764383336,688
10,5,4,12,10,6,47,3.7483621874524933,5.86456288678036,707
5,5,6,5,9,8,38,3.687412504409329,6.406841263583429,740
6,10,17,17,6,1,57,3.9825063661979847,5.927145976157587,768
17,13,14,15,5,7,71,4.1832490895910555,5.864068584890627,774
10,12,11,2,17,7,59,4.334977678430476,5.795839576936982,775
2,12,10,2,14,7,47,4.304922151515448,6.1140063287941855,798
2,10,10,12,7,5,46,4.042921444571974,6.4473800175976015,787
1,10,7,9,4,8,39,3.7070556952589184,7.031728074291457,796
8,10,6,7,23,9,63,3.578972592708266,7.1837296913884945,794
8,7,8,4,26,8,61,3.6677843856724004,7.165380443633873,802
19,10,6,18,25,10,88,3.354426999361439,7.581657560454425,813
12,2,5,4,16,4,43,3.314266131708064,7.812525005911745,847
11,22,8,2,24,9,76,3.6829129547858868,7.197623935457127,842
28,28,8,3,16,7,90,3.8418936726950963,7.075709845501039,832
9,30,15,15,10,11,90,3.7078355880388143,7.062180026542878,817
9,22,12,15,5,12,75,3.983241770155274,6.947794284957753,835
8,12,12,16,5,11,64,3.5920333175517354,7.5308720689743085,847
10,22,7,4,4,12,59,3.430302985926577,7.762623418537698,866
11,23,6,2,6,14,62,3.4322143945498134,7.785178884540749,864
9,16,6,7,7,12,57,3.1988811779007733,8.375787583845817,878
8,9,5,16,5,7,50,3.3092190987586805,8.575388260316783,902
6,10,7,17,3,7,50,3.2545913724287474,9.109156409104903,931
5,9,8,1,14,8,45,3.200552986653217,9.404801793574395,957
6,12,7,5,12,7,49,3.008223992965162,9.631651926163954,969
29,6,5,3,12,9,64,3.042973772407982,9.64052194612083,991
29,7,14,1,11,5,67,2.7172885678839553,9.937937477652644,976
3,8,15,2,8,8,44,2.536390136432044,10.219833654139064,999
19,6,15,0,7,9,56,2.50048850326317,10.61281010725469,1013
11,8,14,18,7,5,63,2.370000528064235,10.686585746947078,1009
6,7,5,23,11,4,56,2.3777547397107552,10.660186124959909,1012
4,17,5,21,5,6,58,2.6551321875486904,10.195484201323634,1025
6,23,6,9,4,5,53,2.5557097328196163,10.650418898687304,1047
7,13,11,12,4,6,53,2.577638935060566,10.714350961213281,1070
5,12,10,13,6,5,51,3.011515347157117,10.481801877385614,1094
5,13,7,13,4,5,47,3.0264720926359847,10.601947337525388,1108
3,12,7,14,6,6,48,3.001721252222053,10.868276557183655,1133
7,11,5,8,7,5,43,2.8258887443569463,11.19584850676237,1140
8,7,4,3,9,6,37,2.672150696684039,11.991859461615356,1160
11,8,5,12,7,6,49,2.5504678739568107,12.362554902849249,1172
8,10,3,13,9,8,51,2.5689224139733553,12.754406142711986,1184
1,13,3,5,10,5,37,2.4867549936869136,13.134845396489728,1211
13,10,4,7,7,5,46,2.330414699566715,13.368217112158893,1208
4,7,12,9,18,6,56,2.304683850833965,13.461747048660284,1205
2,8,11,15,11,8,55,2.1289412394096425,13.296516170554494,1196
1,5,11,16,7,9,49,2.015815829784996,13.796670328737267,1194
0,5,11,9,2,9,36,1.710826371284414,14.315490821193368,1199
0,2,10,7,10,8,37,1.7110866437696828,14.502367484213009,1222
0,23,8,9,13,6,59,1.711242671418198,14.186640331893825,1202
0,31,7,3,8,5,54,1.9518461966062284,13.786726654715293,1199
0,33,5,17,9,2,66,2.110860537730449,13.786582040472355,1197
1,21,9,18,7,8,64,2.155198208849154,13.726319977505606,1196
1,11,6,22,6,6,52,2.200637159675604,13.53192445482226,1189
2,10,5,16,22,6,61,2.176887564098497,13.53741184906939,1194
8,5,5,15,24,6,63,2.5173036872421792,12.544144859305247,1205
12,8,5,16,25,3,69,2.513514001767388,12.904820819267181,1221
7,6,5,16,8,0,42,2.5867312349648217,13.39362610615805,1241
14,4,9,15,26,1,69,2.762842344205706,13.029707880319863,1261
14,6,11,5,30,0,66,2.517261521122196,13.27656698980305,1264
13,2,6,17,26,0,64,2.489596710305027,13.391589220233655,1283
15,4,7,17,17,0,60,2.462057366294186,14.093316287179816,1307
33,18,14,4,15,0,84,2.5246982884463054,13.330835309612265,1313
32,19,15,2,11,0,79,2.7298449146955805,12.561318071420997,1317
31,16,13,2,12,11,85,2.649418471503435,12.70681840320795,1298
6,18,14,6,9,20,73,2.5811327003556945,12.490307438935499,1286
9,10,14,3,20,21,77,2.5279287673831647,12.926691751151905,1294
