throughput_KLONGTEI,throughput_KASEMRAT,throughput_NARANONG,throughput_SUNLAKAKHON,throughput_RAMA4, throughput_ATTHAKAVI_RAMA4,throughput,mean_speed,jamlength_percent,Backlog
0,0,0,0,0,0,0,9.904311108768514,0.0,12
0,1,0,0,0,0,1,9.839863360162939,0.0,29
0,1,0,0,0,0,1,10.569699334734166,0.0,45
0,0,0,0,0,0,0,10.304831657863364,0.0,72
1,2,0,1,0,0,4,10.720197186647916,0.027650399548779687,104
1,2,2,0,1,1,7,9.968870445469534,0.09853519948630768,136
0,4,0,0,1,1,6,9.737582112252989,0.1672852624911552,146
2,4,1,2,1,1,11,9.34424865904939,0.23987077907177293,184
0,5,0,9,0,2,16,9.723940476667071,0.27777936961376426,220
4,6,1,1,3,3,18,9.408733769687307,0.356909410690981,241
6,4,0,2,2,6,20,8.922513149489257,0.5972046305572777,273
6,18,0,3,1,5,33,8.875648746783073,0.6322456966902513,306
9,11,0,5,3,4,32,8.493576524523098,0.8209520376493726,324
5,13,0,2,3,5,28,7.965014710095942,1.0720510528996037,345
6,8,1,2,4,7,28,7.072548197682111,1.4937528023893887,371
4,7,8,0,2,0,21,6.774932229749364,1.781653625573733,400
5,8,4,0,0,4,21,6.10650043672792,2.2908055290653655,428
5,10,0,18,3,6,42,6.012078735473574,2.516677427391798,440
2,9,1,11,1,5,29,5.6244498540539825,2.9197355013239727,462
10,9,11,6,22,7,65,6.0751122242473174,2.429400151946438,452
8,10,10,1,22,5,56,6.274608317609576,2.400506803459934,476
9,5,12,15,3,8,52,6.524174192178425,2.3764832938822837,501
11,7,10,9,5,3,45,6.245405310567642,2.6303356522033754,524
9,13,8,2,5,10,47,6.117608028844471,2.7151722230023747,539
8,7,7,0,4,13,39,5.518524417679706,3.317552371730061,566
9,14,8,2,5,15,53,5.429182983013202,3.457668614147613,562
9,13,7,18,5,12,64,5.350333976822669,3.684310115788639,566
7,10,8,7,5,8,45,5.049943614072541,4.1763476102007155,596
