NARANONG_SB_FP5_TP6,RAMA4_EB_FP3_TP2,RAMA4_EB_FP1_TP3,KLONGTEI_NB_FP3_TPX,RAMA4_EB_FPX_TP1,KASEMRAT_EB_FPX_TP2_RAMA4,NARANONG_SW_FPX_TP1,RAMA4_EB_FP1_TP3,RAMA4_NB_FPX_TP5,RAMA4_WB_FP2_TP4,RAMA4_EB_FP3_TP2,RAMA4_WB_FP3_TP2,RAMA4_SB_FP4_TP5,RAMA4_NB_FP5_TP1,RAMA4_NB_FPX_TP5,NARANONG_SB_FP1_TP2,NARANONG_EB_FP1_TP2,NARANONG_WB_FPX_TP2,NARANONG_WB_FP2_TP3_FLOW,NARANONG_SW_FPX_TP1,NARANONG_EB_FP3_TP4,NARANONG_WB_FP4_TP5,NARANONG_SB_FP5_TP6,NARANONG_NB_FP6_TP1,KLONGTEI_NB_FP3_TPX,SUNLAKAKHON_EB_FP3_TP4,NARANONG_WB_FPX_TP2,SUNLAKAKHON_SB_FP1_TPX,SUNLAKAKHON_NB_FP2_TP3,SUNLAKAKHON_EB_FP3_TP4,SUNLAKAKHON_WB_FP3_TP4,SUNLAKAKHON_EB_FP4_TP1,SUNLAKAKHON_SB_FPX_TP1,KASEMRAT_NB_FPX_TP3,SUNLAKAKHON_SB_FPX_TP1,MASUKGRIDLOCK_ARI_NB_FPX_TP2,KASEMRAT_EB_FP2_TP1,MASUKGRIDLOCK_SUKHUMVUT_FPX_TP2,KASEMRAT_NB_FPX_TP3,KASEMRAT_EB_FPX_TP2_RAMA4,KASEMRAT_EB_FPX_TP2,SUNLAKAKHON_SB_FPX_TP1,MASUKGRIDLOCK_ARI_NB_FPX_TP2,MASUKGRIDLOCK_SUKHUMVUT_FPX_TP2,KASEMRAT_EB_FP2_TP1,KASEMRAT_NB_FPX_TP3,KASEMRAT_EB_FPX_TP2_RAMA4,KASEMRAT_EB_FPX_TP2
0.0,0.0,0,0,293.34000000000003,470.09999999999997,120.0,0,78.28,0,0.0,0.0,669.0600000000001,0.0,78.28,0.0,22.88,841.5600000000002,0,120.0,0,0.0,0.0,0.0,0,726.0500000000002,841.5600000000002,0,0,726.0500000000002,240.69,0,551.79,665.8199999999999,551.79,143.49,0,194.91,665.8199999999999,470.09999999999997,279.08,551.79,143.49,194.91,0,665.8199999999999,470.09999999999997,279.08
0.0,0.21662730805704833,0,0,293.34000000000003,470.09999999999997,120.0,0,78.28,0,0.21662730805704833,0.0,669.0600000000001,14.411164611276737,78.28,0.0,22.88,841.5600000000002,0,120.0,0,0.0,0.0,0.0,0,726.0500000000002,841.5600000000002,0.10862020891913363,0,726.0500000000002,240.69,0,551.79,665.8199999999999,551.79,143.49,0,194.91,665.8199999999999,470.09999999999997,279.08,551.79,143.49,194.91,0,665.8199999999999,470.09999999999997,279.08
0.0,0.25316579487870533,0,0,293.34000000000003,470.09999999999997,120.0,0,78.28,0,0.25316579487870533,0.0,669.0600000000001,14.638868768658508,78.28,0.0,22.88,841.5600000000002,0,120.0,0,0.24440559440559445,0.0,0.0,0,726.0500000000002,841.5600000000002,0,0,726.0500000000002,240.69,0,551.79,665.8199999999999,551.79,143.49,0.11413663857055159,194.91,665.8199999999999,470.09999999999997,279.08,551.79,143.49,194.91,0.11413663857055159,665.8199999999999,470.09999999999997,279.08
0.0,0.3891067416723666,0,0,293.34000000000003,470.09999999999997,120.0,0,78.28,0,0.3891067416723666,0.0,669.0600000000001,16.433016612601012,78.28,0.0,22.88,841.5600000000002,0,120.0,0.0728417540836915,0.0,0.0,0.0,0,726.0500000000002,841.5600000000002,0,0,726.0500000000002,240.69,0,551.79,665.8199999999999,551.79,143.49,0,194.91,665.8199999999999,470.09999999999997,279.08,551.79,143.49,194.91,0,665.8199999999999,470.09999999999997,279.08
0.0,0.22301977165937195,0,0,293.34000000000003,470.09999999999997,120.0,0,78.28,0,0.22301977165937195,0.0,669.0600000000001,15.36198963719257,78.28,0.0,22.88,841.5600000000002,0,120.0,0,0.0,0.0,7.239022369511186,0,726.0500000000002,841.5600000000002,0,0,726.0500000000002,240.69,0,551.79,665.8199999999999,551.79,143.49,0,194.91,665.8199999999999,470.09999999999997,279.08,551.79,143.49,194.91,0,665.8199999999999,470.09999999999997,279.08
0.0,1.8948589020130469,0,0,293.34000000000003,470.09999999999997,120.0,0,78.28,0,1.8948589020130469,0.0,669.0600000000001,15.36198963719257,78.28,0.0,22.88,841.5600000000002,0,120.0,0.07041138877484505,0.0,0.0,12.510515582180872,0,726.0500000000002,841.5600000000002,0.2612656474178464,0.11223564654355869,726.0500000000002,240.69,0.11759767185777678,551.79,665.8199999999999,551.79,143.49,0.11570048484704948,194.91,665.8199999999999,470.09999999999997,279.08,551.79,143.49,194.91,0.11570048484704948,665.8199999999999,470.09999999999997,279.08
0.0,3.4573621401456265,0.07191451872220518,0,293.34000000000003,470.09999999999997,120.0,0.07191451872220518,78.28,0,3.4573621401456265,0.0,669.0600000000001,15.36198963719257,78.28,0.0,22.88,841.5600000000002,0,120.0,0.11651932679088994,0.0,0.0,14.478044739022373,0,726.0500000000002,841.5600000000002,0.21617937147343907,0.1204214016618207,726.0500000000002,240.0132373533285,0,551.79,665.8199999999999,551.79,143.49,3.258756000562976e-05,194.91,665.8199999999999,470.09999999999997,279.08,551.79,143.49,194.91,3.258756000562976e-05,665.8199999999999,470.09999999999997,279.08
0.0,4.408964874061128,3.7645658042072173e-06,0,293.34000000000003,470.09999999999997,120.0,3.7645658042072173e-06,78.28,0,4.408964874061128,0.0,669.0600000000001,15.36198963719257,78.28,0.0,22.88,841.5600000000002,0,120.0,0.06917049343918794,0.5855301183625262,0.0,14.478044739022373,0,726.0500000000002,841.5600000000002,0.06698489077023617,0.11577860604244788,726.0500000000002,231.76955483887423,0,551.79,665.8199999999999,551.79,143.49,0.11267380694952388,194.91,665.8199999999999,470.09999999999997,279.08,551.79,143.49,194.91,0.11267380694952388,665.8199999999999,470.09999999999997,279.08
0.0,5.370971912270758,0.1747768586378508,0,293.34000000000003,470.09999999999997,120.0,0.1747768586378508,78.28,0,5.370971912270758,0.0,669.0600000000001,15.36198963719257,78.28,7.385103011093503,22.88,841.5600000000002,0,120.0,0.029999590854660953,0.6642153287062719,0.0,14.478044739022373,0,726.0500000000002,841.5600000000002,0.0,0.11335030253930017,726.0500000000002,231.76955483887423,0,551.79,665.8199999999999,551.79,143.49,0.11111352057091492,194.91,665.8199999999999,470.09999999999997,279.08,551.79,143.49,194.91,0.11111352057091492,665.8199999999999,470.09999999999997,279.08
0.0,10.584884925866028,0.18399425591850854,0,293.34000000000003,470.09999999999997,120.0,0.18399425591850854,78.28,0,10.584884925866028,0.0,669.0600000000001,15.36198963719257,78.28,7.385103011093503,22.88,841.5600000000002,0,120.0,0.008991277113361935,0.5855301183625262,0.0,14.478044739022373,0,726.0500000000002,841.5600000000002,0.03835122291479455,0.1116223265910521,726.0500000000002,196.80705845649004,0,551.79,665.8199999999999,551.79,143.49,0.11400463265307056,194.91,665.8199999999999,470.09999999999997,279.08,551.79,143.49,194.91,0.11400463265307056,665.8199999999999,470.09999999999997,279.08
