throughput_KLONGTEI,throughput_KASEMRAT,throughput_NARANONG,throughput_SUNLAKAKHON,throughput_RAMA4, throughput_ATTHAKAVI_RAMA4,throughput,mean_speed,jamlength_percent,Backlog
0,0,0,0,0,0,0,8.566167694248364,0.0,11
0,0,0,0,0,0,0,9.750456570092979,0.0,29
0,1,0,0,0,0,1,9.338028947159692,0.025973606121707477,54
0,0,0,0,0,0,0,9.669049426998589,0.06430796212722037,80
0,0,2,0,0,1,3,9.55501616194835,0.10722422464855884,101
1,1,1,0,0,0,3,9.415377350588392,0.15163411048471084,128
1,3,1,0,0,0,5,9.590469949552858,0.2054090926623168,155
1,5,3,10,2,1,22,10.067739984899866,0.140709394202958,177
2,4,0,4,0,1,11,9.32951790318696,0.32843150608724514,204
6,4,1,3,2,0,16,8.83629770098325,0.5008991638900888,238
5,1,1,5,5,1,18,8.579868061689034,0.6489479747507878,269
4,12,0,5,3,5,29,8.545291230810767,0.6861705461451082,293
6,13,0,4,3,0,26,7.839812849204119,0.9686369059897576,317
5,2,2,6,3,2,20,7.43045351069154,1.2963920465942176,337
9,3,0,3,4,2,21,6.794981894231771,1.643394679726387,369
6,4,7,1,2,1,21,6.213685123230943,2.123453775673492,394
3,1,1,1,0,3,9,5.674205526364768,2.594909512412646,421
4,12,1,16,1,2,36,5.299491490545216,2.9039603408539683,432
5,6,1,2,0,1,15,4.935801582381267,3.362329524294677,464
13,4,11,1,23,2,54,5.511946710011708,2.8890756511295104,487
9,5,10,0,26,2,52,6.008257274762277,2.7985233786193495,510
9,4,10,2,6,1,32,5.887992052224458,3.162886813482715,536
8,4,12,3,8,4,39,5.431229253144239,3.5417989535952916,555
12,18,7,1,7,9,54,5.145161966464597,3.694669197604973,574
8,7,7,14,6,16,58,5.206663456015527,3.8295741143660766,599
11,15,8,12,6,14,66,5.850888891473866,3.57746740431454,625
10,13,6,11,8,16,64,5.7351338028496,3.844850191917334,637
9,14,8,10,7,9,57,5.590268511699632,4.104744988028123,638
6,8,17,9,24,9,73,5.455024592840182,4.206169139142473,657
29,16,11,2,24,7,89,5.449572291470728,4.392332955469792,671
24,8,6,3,8,7,56,4.876686021041384,4.871392527024272,672
11,8,11,2,7,9,48,4.483024437122439,5.31885645367276,690
8,9,9,3,9,10,48,4.337100714761058,5.806148598869451,704
8,8,11,3,7,9,46,3.98976108466253,6.263096761860159,722
4,9,4,3,7,5,32,3.593058137845824,6.841265170825354,728
9,7,0,2,14,7,39,3.4979054800598486,6.925524376084572,755
10,6,2,3,9,7,37,3.1952629889538886,7.26611911128773,770
10,9,7,17,6,1,50,3.596833551722595,7.243582070659786,788
3,22,9,20,9,2,65,3.8776823578862305,6.975998212702021,810
23,21,8,13,2,2,69,3.7948487423291164,7.1997013689417795,815
6,13,6,0,13,8,46,3.9609708265396915,7.549130463727358,831
4,8,0,12,9,3,36,3.6668429234601128,7.821129987302027,850
4,5,10,11,0,3,33,3.533520607343399,8.0106928820696,870
3,5,10,9,1,2,30,3.035502967451285,8.66791114818457,874
2,5,10,8,1,5,31,2.783288125860351,8.93757988516152,881
7,10,10,2,23,7,59,3.079550420859657,8.757687972489261,911
12,10,11,16,27,5,81,3.5396437448284743,8.037998292549275,918
17,20,6,20,24,4,91,3.874324976655903,7.832130250804535,938
8,17,5,15,13,3,61,3.5965420218810857,8.463495059553567,945
4,15,5,3,26,10,63,3.5044846938493226,8.739091500422441,946
34,5,5,15,12,16,87,3.4302312795359695,8.850120890886316,943
19,13,5,11,7,15,70,3.4221626375212177,8.910721769003807,941
12,12,6,11,9,1,51,3.2521570526272208,9.08517422827595,955
11,15,5,5,10,8,54,2.9551725728371836,9.627552969113456,951
9,11,5,4,8,9,46,2.7248468188625954,10.20839337359844,969
6,15,6,3,12,7,49,2.67301750185308,10.432474195530974,983
4,9,8,4,5,9,39,2.8275479975229634,10.36857495566494,1007
4,7,11,4,9,9,44,2.805051738041395,10.546897424270771,1026
4,8,10,4,7,7,40,2.6341801611852027,11.054114499505848,1051
0,4,10,15,7,9,45,2.810654072867656,10.638776837609534,1076
9,4,14,13,9,9,58,2.8346906249859063,10.900237539733647,1104
7,0,12,7,5,7,38,2.781188145743586,10.98506457561632,1119
8,19,13,3,5,9,57,2.9112368994910813,10.824950968307194,1122
7,16,11,6,6,9,55,2.812686625568961,11.262683769595084,1143
3,18,14,3,7,6,51,2.762875021780286,11.31833243777663,1158
4,16,11,1,9,10,51,2.8323844356684855,11.871386805398188,1178
3,18,8,2,7,9,47,2.577600524905305,12.424798886327418,1190
1,12,10,10,3,11,47,2.3698723888350566,12.782832956713582,1201
0,3,10,7,2,9,31,2.0395401819976535,13.931986415167458,1220
7,6,10,2,6,9,40,1.9577664031170323,14.33743801125734,1242
0,2,11,0,17,9,39,1.9248661629744328,14.671437287719838,1262
10,18,10,1,22,3,64,2.2058220275393916,13.962340475656735,1277
14,16,11,1,22,3,67,2.3153882755667663,13.949484453512214,1286
16,18,10,16,20,4,84,2.338704085668012,13.735623804400774,1289
16,15,10,20,29,6,96,2.6337926926407693,13.232388085330859,1294
12,13,14,23,24,3,89,2.5345194294460844,13.565700408193607,1308
27,6,12,20,6,4,75,2.3459323525785973,13.530382775221357,1276
15,9,12,21,12,5,74,2.232606067182664,14.01501585623445,1279
12,6,6,19,9,3,55,2.0817245887912517,13.97611763221743,1263
15,8,6,19,7,5,60,1.8972167782557956,14.213704492255525,1249
12,9,5,5,7,7,45,1.9327812194912721,14.075502753472314,1271
7,16,7,8,8,4,50,1.988360228415092,14.41744655413367,1283
8,24,5,5,6,3,51,2.0852341995929593,14.370835509487943,1297
8,14,9,1,4,4,40,2.098339292544802,14.512730191981332,1298
6,10,6,7,8,6,43,2.2789228083571618,14.836196570691579,1343
5,12,6,12,6,3,44,2.3039384429041174,14.688821630192722,1365
2,16,9,11,9,2,49,2.244301627526542,14.84246340014404,1383
4,9,3,13,12,2,43,2.071747665179837,15.315456371849255,1386
2,9,14,9,15,7,56,1.9535518361032285,15.436598195135387,1387
0,17,11,3,16,8,55,2.126627499387541,15.660783380429123,1405
3,20,3,4,13,5,48,1.9764579515900393,16.747195799859703,1427
10,15,0,4,22,16,67,2.145485532244511,15.741996536617425,1447
12,12,0,2,11,18,55,2.263338483218281,15.357700778850196,1453
7,16,10,0,7,18,58,2.2691113946760426,15.546939544533735,1474
13,16,11,9,1,20,70,2.0456437385888804,15.795470640690029,1468
9,8,10,7,29,19,82,2.1136981888386095,15.483214319052722,1481
9,10,11,7,32,19,88,2.091999185887374,15.831057606555161,1487
6,12,10,7,13,15,63,1.9740246875307312,16.521966454210666,1506
8,20,9,5,8,13,63,1.915287575907214,16.431223847222938,1516
3,28,5,1,12,15,64,2.0334071827985563,16.913756526449866,1531
39,21,5,2,3,4,74,2.198109604379347,16.388288658692613,1542
21,14,5,3,17,11,71,2.200432592666882,15.958683707697443,1533
27,16,9,3,15,13,83,1.9959411321358924,16.720992568109295,1526
19,16,10,3,9,11,68,1.8677363271445437,17.03220546591463,1525
10,2,8,2,7,12,41,1.7807426205678356,17.84499406493198,1531
12,1,5,7,10,14,49,1.6796293508968458,18.482991720960772,1546
5,4,5,5,8,14,41,1.6177200394446798,18.388604046796765,1539
5,25,6,13,5,4,58,1.6625429674592922,17.888659814910184,1525
4,15,9,8,6,9,51,1.7203325246097858,17.802177101599472,1517
2,13,5,6,4,9,39,1.7330015043247051,17.761304057653845,1539
4,14,5,7,4,10,44,1.8392850266808694,17.448378921390166,1536
10,9,5,17,7,9,57,1.9654651796811924,17.0554845775032,1554
10,6,5,21,21,9,72,2.1318280127363938,16.79543029833005,1572
3,0,6,21,26,10,66,2.0518660069089023,17.516074525530495,1578
10,0,15,21,20,8,74,2.069300873887853,16.771243554968358,1561
7,0,11,20,19,8,65,2.02545374148903,17.38957369372589,1566
6,17,10,14,4,9,60,1.7590800133782316,17.83013746052879,1564
7,20,9,0,9,9,54,1.717388836693842,18.35761689130091,1581
10,13,6,0,6,9,44,1.7404394841482504,18.0926244452873,1593
4,13,6,0,7,8,38,1.6467337320092885,18.34884752043583,1620
29,16,5,0,8,3,61,1.7027481777621278,18.732310552869084,1630
17,17,5,11,8,4,62,1.8419424952070165,18.61857444148747,1639
13,9,7,15,18,4,66,1.8488428741998142,18.715376448193272,1645
11,8,6,9,21,3,58,1.7948463849337122,19.611620785025128,1669
14,9,5,3,8,1,40,1.8266224440151788,19.538628713213136,1685
13,16,5,6,9,5,54,1.8519193935595348,19.45967394692888,1692
9,31,11,4,10,3,68,1.8386460423298119,19.32063127768377,1727
8,28,10,3,5,5,59,1.9163111366330645,19.295121177318745,1742
14,23,10,2,4,17,70,1.9413557048036079,18.993574944675444,1727
